cohort_month,month_number,active_customers,cohort_users,retention_rate
2022-01-01,0,125,125,100.00
2022-01-01,1,6,125,4.80
2022-01-01,2,4,125,3.20
2022-01-01,3,6,125,4.80
2022-01-01,4,3,125,2.40
2022-01-01,5,5,125,4.00
2022-01-01,6,7,125,5.60
2022-01-01,7,7,125,5.60
2022-01-01,8,3,125,2.40
2022-01-01,9,3,125,2.40
2022-01-01,10,5,125,4.00
2022-01-01,11,6,125,4.80
2022-01-01,12,5,125,4.00
2022-01-01,13,4,125,3.20
2022-01-01,14,4,125,3.20
2022-01-01,15,6,125,4.80
2022-01-01,16,1,125,0.80
2022-01-01,17,8,125,6.40
2022-01-01,18,6,125,4.80
2022-01-01,19,2,125,1.60
2022-01-01,20,5,125,4.00
2022-01-01,21,2,125,1.60
2022-01-01,22,8,125,6.40
2022-01-01,23,4,125,3.20
2022-01-01,24,4,125,3.20
2022-01-01,25,9,125,7.20
2022-01-01,26,2,125,1.60
2022-01-01,27,5,125,4.00
2022-01-01,28,3,125,2.40
2022-01-01,29,5,125,4.00
2022-01-01,30,3,125,2.40
2022-01-01,31,3,125,2.40
2022-01-01,32,4,125,3.20
2022-01-01,33,5,125,4.00
2022-01-01,34,7,125,5.60
2022-01-01,35,6,125,4.80
2022-02-01,0,100,100,100.00
2022-02-01,2,6,100,6.00
2022-02-01,3,3,100,3.00
2022-02-01,4,3,100,3.00
2022-02-01,5,3,100,3.00
2022-02-01,6,5,100,5.00
2022-02-01,7,2,100,2.00
2022-02-01,8,3,100,3.00
2022-02-01,9,2,100,2.00
2022-02-01,10,3,100,3.00
2022-02-01,11,3,100,3.00
2022-02-01,12,5,100,5.00
2022-02-01,13,3,100,3.00
2022-02-01,14,3,100,3.00
2022-02-01,15,3,100,3.00
2022-02-01,16,4,100,4.00
2022-02-01,17,6,100,6.00
2022-02-01,18,4,100,4.00
2022-02-01,19,4,100,4.00
2022-02-01,20,6,100,6.00
2022-02-01,21,2,100,2.00
2022-02-01,22,1,100,1.00
2022-02-01,23,3,100,3.00
2022-02-01,24,4,100,4.00
2022-02-01,25,7,100,7.00
2022-02-01,26,4,100,4.00
2022-02-01,27,1,100,1.00
2022-02-01,28,5,100,5.00
2022-02-01,29,7,100,7.00
2022-02-01,30,4,100,4.00
2022-02-01,31,2,100,2.00
2022-02-01,32,2,100,2.00
2022-02-01,33,7,100,7.00
2022-02-01,34,4,100,4.00
2022-03-01,0,98,98,100.00
2022-03-01,1,2,98,2.04
2022-03-01,2,6,98,6.12
2022-03-01,3,5,98,5.10
2022-03-01,4,7,98,7.14
2022-03-01,5,1,98,1.02
2022-03-01,6,5,98,5.10
2022-03-01,7,5,98,5.10
2022-03-01,8,4,98,4.08
2022-03-01,9,1,98,1.02
2022-03-01,11,1,98,1.02
2022-03-01,12,3,98,3.06
2022-03-01,13,2,98,2.04
2022-03-01,14,2,98,2.04
2022-03-01,15,1,98,1.02
2022-03-01,17,5,98,5.10
2022-03-01,18,2,98,2.04
2022-03-01,19,3,98,3.06
2022-03-01,20,1,98,1.02
2022-03-01,21,8,98,8.16
2022-03-01,22,2,98,2.04
2022-03-01,23,3,98,3.06
2022-03-01,24,2,98,2.04
2022-03-01,25,4,98,4.08
2022-03-01,26,3,98,3.06
2022-03-01,27,4,98,4.08
2022-03-01,28,8,98,8.16
2022-03-01,29,8,98,8.16
2022-03-01,30,3,98,3.06
2022-03-01,31,6,98,6.12
2022-03-01,32,3,98,3.06
2022-03-01,33,3,98,3.06
2022-04-01,0,85,85,100.00
2022-04-01,1,5,85,5.88
2022-04-01,2,3,85,3.53
2022-04-01,3,3,85,3.53
2022-04-01,4,5,85,5.88
2022-04-01,5,5,85,5.88
2022-04-01,6,8,85,9.41
2022-04-01,7,1,85,1.18
2022-04-01,8,3,85,3.53
2022-04-01,9,6,85,7.06
2022-04-01,10,5,85,5.88
2022-04-01,11,6,85,7.06
2022-04-01,12,4,85,4.71
2022-04-01,13,1,85,1.18
2022-04-01,14,3,85,3.53
2022-04-01,15,3,85,3.53
2022-04-01,16,3,85,3.53
2022-04-01,17,9,85,10.59
2022-04-01,18,1,85,1.18
2022-04-01,19,5,85,5.88
2022-04-01,20,2,85,2.35
2022-04-01,21,2,85,2.35
2022-04-01,22,1,85,1.18
2022-04-01,23,3,85,3.53
2022-04-01,24,1,85,1.18
2022-04-01,25,6,85,7.06
2022-04-01,26,5,85,5.88
2022-04-01,27,3,85,3.53
2022-04-01,28,2,85,2.35
2022-04-01,29,4,85,4.71
2022-04-01,30,5,85,5.88
2022-04-01,31,4,85,4.71
2022-04-01,32,5,85,5.88
2022-05-01,0,100,100,100.00
2022-05-01,1,7,100,7.00
2022-05-01,2,5,100,5.00
2022-05-01,3,4,100,4.00
2022-05-01,4,5,100,5.00
2022-05-01,5,5,100,5.00
2022-05-01,6,2,100,2.00
2022-05-01,7,5,100,5.00
2022-05-01,8,4,100,4.00
2022-05-01,9,5,100,5.00
2022-05-01,10,3,100,3.00
2022-05-01,11,6,100,6.00
2022-05-01,12,3,100,3.00
2022-05-01,13,3,100,3.00
2022-05-01,14,5,100,5.00
2022-05-01,15,2,100,2.00
2022-05-01,16,5,100,5.00
2022-05-01,17,6,100,6.00
2022-05-01,18,1,100,1.00
2022-05-01,19,5,100,5.00
2022-05-01,20,1,100,1.00
2022-05-01,21,5,100,5.00
2022-05-01,22,5,100,5.00
2022-05-01,23,1,100,1.00
2022-05-01,25,3,100,3.00
2022-05-01,26,5,100,5.00
2022-05-01,27,3,100,3.00
2022-05-01,28,3,100,3.00
2022-05-01,29,3,100,3.00
2022-05-01,30,3,100,3.00
2022-05-01,31,1,100,1.00
2022-06-01,0,97,97,100.00
2022-06-01,1,4,97,4.12
2022-06-01,2,6,97,6.19
2022-06-01,3,2,97,2.06
2022-06-01,4,4,97,4.12
2022-06-01,5,2,97,2.06
2022-06-01,6,1,97,1.03
2022-06-01,7,3,97,3.09
2022-06-01,8,2,97,2.06
2022-06-01,9,1,97,1.03
2022-06-01,10,6,97,6.19
2022-06-01,11,5,97,5.15
2022-06-01,12,2,97,2.06
2022-06-01,13,4,97,4.12
2022-06-01,14,2,97,2.06
2022-06-01,15,4,97,4.12
2022-06-01,16,2,97,2.06
2022-06-01,17,2,97,2.06
2022-06-01,18,3,97,3.09
2022-06-01,19,4,97,4.12
2022-06-01,20,3,97,3.09
2022-06-01,21,3,97,3.09
2022-06-01,22,5,97,5.15
2022-06-01,23,1,97,1.03
2022-06-01,24,3,97,3.09
2022-06-01,25,2,97,2.06
2022-06-01,26,5,97,5.15
2022-06-01,27,2,97,2.06
2022-06-01,28,7,97,7.22
2022-06-01,29,2,97,2.06
2022-06-01,30,3,97,3.09
2022-07-01,0,89,89,100.00
2022-07-01,1,2,89,2.25
2022-07-01,2,4,89,4.49
2022-07-01,3,7,89,7.87
2022-07-01,4,2,89,2.25
2022-07-01,5,3,89,3.37
2022-07-01,6,6,89,6.74
2022-07-01,7,6,89,6.74
2022-07-01,9,2,89,2.25
2022-07-01,10,4,89,4.49
2022-07-01,11,3,89,3.37
2022-07-01,12,2,89,2.25
2022-07-01,13,2,89,2.25
2022-07-01,14,4,89,4.49
2022-07-01,15,3,89,3.37
2022-07-01,16,3,89,3.37
2022-07-01,17,4,89,4.49
2022-07-01,18,3,89,3.37
2022-07-01,19,5,89,5.62
2022-07-01,20,4,89,4.49
2022-07-01,21,7,89,7.87
2022-07-01,22,3,89,3.37
2022-07-01,23,3,89,3.37
2022-07-01,24,4,89,4.49
2022-07-01,25,1,89,1.12
2022-07-01,26,4,89,4.49
2022-07-01,27,4,89,4.49
2022-07-01,28,1,89,1.12
2022-07-01,29,3,89,3.37
2022-08-01,0,78,78,100.00
2022-08-01,2,3,78,3.85
2022-08-01,3,2,78,2.56
2022-08-01,4,3,78,3.85
2022-08-01,5,3,78,3.85
