month,cm_sales,pm_sales,sales_growth,growth_percentage
2022-01,350509.68,NULL,NULL,NULL
2022-02,375480.63,350509.68,24970.95,7.12%
2022-03,321606.01,375480.63,-53874.62,-14.35%
2022-04,327576.91,321606.01,5970.90,1.86%
2022-05,370472.93,327576.91,42896.02,13.09%
2022-06,373947.39,370472.93,3474.46,0.94%
2022-07,380176.24,373947.39,6228.85,1.67%
2022-08,343087.89,380176.24,-37088.35,-9.76%
2022-09,368447.91,343087.89,25360.02,7.39%
2022-10,353109.28,368447.91,-15338.63,-4.16%
2022-11,346586.73,353109.28,-6522.55,-1.85%
2022-12,357845.32,346586.73,11258.59,3.25%
2023-01,443505.32,357845.32,85660.00,23.94%
2023-02,305066.84,443505.32,-138438.48,-31.21%
2023-03,344092.61,305066.84,39025.77,12.79%
2023-04,359815.29,344092.61,15722.68,4.57%
2023-05,344658.12,359815.29,-15157.17,-4.21%
2023-06,323313.58,344658.12,-21344.54,-6.19%
2023-07,377044.14,323313.58,53730.56,16.62%
2023-08,365481.61,377044.14,-11562.53,-3.07%
2023-09,451285.77,365481.61,85804.16,23.48%
2023-10,310154.89,451285.77,-141130.88,-31.27%
2023-11,250921.88,310154.89,-59233.01,-19.10%
2023-12,400177.04,250921.88,149255.16,59.48%
2024-01,334694.24,400177.04,-65482.80,-16.36%
2024-02,332463.28,334694.24,-2230.96,-0.67%
2024-03,320605.24,332463.28,-11858.04,-3.57%
2024-04,376334.61,320605.24,55729.37,17.38%
2024-05,301732.62,376334.61,-74601.99,-19.82%
2024-06,334673.76,301732.62,32941.14,10.92%
2024-07,392531.92,334673.76,57858.16,17.29%
2024-08,380940.36,392531.92,-11591.56,-2.95%
2024-09,336606.00,380940.36,-44334.36,-11.64%
2024-10,385229.17,336606.00,48623.17,14.45%
2024-11,384519.03,385229.17,-710.14,-0.18%
2024-12,286091.37,384519.03,-98427.66,-25.60%
